strategy,example
retrieval_practice,Üben und Auswendiglernen
retrieval_practice,Übungstest
retrieval_practice,Quizzen mit Karteikarten oder Lernkarten
retrieval_practice,freies Abrufen von Material
retrieval_practice,"Abrufen von Schlüsselbegriffen, Ideen und Konzepten"
retrieval_practice,Abrufen von Material anhand von Hinweisen
retrieval_practice,Selbsttest
distributed_practice,Lernen über einen bestimmten Zeitraum verteilen
distributed_practice,späteres Wiederholen von in früheren Sitzungen gelerntem Material
distributed_practice,Verteilen von Elementen wie Fragen oder Übungsaufgaben innerhalb einer Lernsitzung
interleaved_practice,"Vermischen verschiedener Arten von Aufgaben, Fragen oder Problemen"
rereading,Erneutes Lesen
rereading,"Markieren, hervorheben oder unterstreichen"
organisation,Zusammenfassungen oder Auszüge erstellen
organisation,Karteikarten oder Lernkarten erstellen
organisation,Gliederung erstellen
organisation,Inhaltsverzeichnis erstellen
organisation,Stichwort-Mnemonik
organisation,Wiedergabe der Hauptideen einer Unterrichtseinheit in eigenen Worten
organisation,"Erstellen von Mindmaps/knowledge graphs oder grafischen Organisationsstrukturen"
organisation,"Gesprochenen Text in räumliche Anordnungen umwandeln (Diagramme, Tabellen)"
organisation,Erstellen erklärender oder organisierender Zeichnungen zur Veranschaulichung von Unterrichtsinhalten
organisation,Vorstellen/Bilden mentaler Bilder von Unterrichtsinhalten
elaboration,Erstellen von Erklärungen durch Beantworten von 'Warum'-Fragen
elaboration,Unterrichten und Unterrichtsvorbereitung
elaboration,"Selbsterklärung, um den Stoff zu verstehen"
elaboration,"Selbsterklärung, um bereits gelernte Informationen mit Vorwissen in Beziehung zu setzen"
elaboration,lautes Denken
elaboration,Stellen und Beantworten von Fragen zum Stoff
elaboration,Argumentation
elaboration,Peer-Tutoring
elaboration,Gruppendiskussionen
metacognitive,Lernziele setzen
metacognitive,Lernplan erstellen
metacognitive,Selbstevaluation
metacognitive,Selbstregulierung
metacognitive,Vorbereitung
resources,"Räumliche Rahmenbedingungen setzen, z.B. Arbeitsplatz strukturieren"
resources,Selbstbelohnung oder -strafe
resources,"Weitere Informationsquellen aufsuchen, z.B. Bücher oder anderes Material"
resources,"Hilfe bei anderen Personen suchen (Kommilitonen, Lehrpersonal oder andere)"
resources,Management von Anstrengung und Aufmerksamkeit
resources,Zeitmanagement
resources,Selbstverpflichtung
resources,Literatur
