categories,definitions
goal setting and planning,"Student setting of educational goals or subgoals and planning for sequencing, timing, and completing activities related to those goals, e.g., 'First, I start studying two weeks before exams, and I pace myself'"
environmental structuring,"Student-initiated efforts to select or arrange the physical setting to make learning easier, e.g., 'I isolate myself from anything that distracts me.' 'I turned off the radio so I can concentrate on what I am doing.'"
self-consequences (i.e. self-rewarding and self-punishment),"Student arrangement or imagination of rewards or punishment for success or failure, e.g., ""If I do well on a test, I treat myself to a movie."""
self-evaluation,"Student-initiated evaluations of the quality or progress of their work, e.g., ""I check over my work to make sure I did it right."""
organising and transforming,"Student-initiated overt or covert rearrangement of instructional materials to improve learning, e.g., ""I make an outline before I write my paper."""
seeking and selecting information,"Student-initiated efforts to secure further task information from nonsocial sources when undertaking an assignment, e.g., ""Before beginning to write the paper, I go to the library to get as much information as possible concerning the topic."""
rehearsal and mnemonic strategies (memorising),"Student-initiated efforts to memorize material by overt or covert practice, e.g., ""In preparing for a math test, I keep writing the formula down until I remember it."""
seeking social assistance from fellow students,"Student-initiated efforts to solicit help from fellow students, e.g., ""If I have problems with math assignments, I ask for help in the class forums."""
seeking social assistance from teachers,"Student-initiated efforts to solicit help from teachers, e.g., ""If I have problems with math assignments, I ask a lecturer for help."""
seeking social assistance from others (not fellow students or teachers),"Student-initiated efforts to solicit help from others who are not teachers or fellow students, e.g., ""If I have problems with math assignments, I ask a friend to help."""
"reviewing previously compiled records, e.g. tests, notes or course material/textbooks","Student-initiated efforts to reread tests, notes, or textbooks to prepare for class or further testing, e.g., ""When preparing for a test, I review my notes."""
keeping records and monitoring,"Student-initiated efforts to record events or results, e.g., ""I took notes of the class discussion."" ""I kept a list of the words I got wrong."""
other,"Statements indicating learning behavior that is initiated by other persons such as teachers or parents, and all unclear verbal responses, e.g., ""I just do what the teacher says."""
